Weight class,Method,time
"['Light Heavyweight', 'Heavyweight', 'Light Heavyweight', 'Heavyweight', 'Heavyweight', 'Lightweight', 'Middleweight', 'Heavyweight']","['KO/TKO', 'SUB', 'KO/TKO', 'S-DEC', 'DQ', 'U-DEC', 'KO/TKO', 'KO/TKO']","[('3', '2:39'), ('1', '1:59'), ('1', '1:07'), ('3', '5:00'), ('1', '2:55'), ('3', '5:00'), ('1', '1:56'), ('2', '4:24')]"
"['Light Heavyweight', 'Heavyweight', 'Heavyweight', 'Middleweight', 'Light Heavyweight', 'Welterweight', 'Lightweight', 'Welterweight', 'Lightweight']","['U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'SUB', 'KO/TKO', 'SUB', 'KO/TKO']","[('5', '5:00'), ('1', '1:59'), ('1', '1:54'), ('3', '5:00'), ('1', '3:35'), ('1', '3:52'), ('1', '2:45'), ('3', '2:04'), ('2', '2:46')]"
"['Welterweight', 'Middleweight', 'Heavyweight', 'Middleweight', 'Welterweight', 'Heavyweight', 'Middleweight', 'Lightweight']","['SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'SUB', 'KO/TKO']","[('1', '3:54'), ('3', '4:23'), ('1', '2:14'), ('1', '4:42'), ('3', '5:00'), ('3', '5:00'), ('1', '3:29'), ('2', '2:14')]"
"['Light Heavyweight', 'Welterweight', 'Welterweight', 'Heavyweight', 'Middleweight', 'Welterweight', 'Lightweight', 'Lightweight']","['KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'SUB', 'U-DEC', 'M-DEC', 'U-DEC']","[('1', '0:49'), ('3', '5:00'), ('1', '4:39'), ('2', '4:21'), ('1', '1:45'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00')]"
"['Light Heavyweight', 'Welterweight', 'Lightweight', 'Heavyweight', 'Welterweight', 'Heavyweight', 'Heavyweight', 'Lightweight']","['KO/TKO', 'SUB', 'S-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB']","[('2', '0:38'), ('2', '1:55'), ('3', '5:00'), ('2', '1:15'), ('2', '1:31'), ('1', '4:59'), ('1', '4:40'), ('1', '3:31')]"
"['Heavyweight', 'Welterweight', 'Heavyweight', 'Welterweight', 'Middleweight', 'Lightweight', 'Welterweight', 'Middleweight']","['KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'SUB']","[('1', '1:26'), ('1', '4:15'), ('1', '0:50'), ('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '1:42'), ('2', '1:05')]"
"['Light Heavyweight', 'Middleweight', 'Light Heavyweight', 'Middleweight', 'Heavyweight', 'Welterweight', 'Welterweight', 'Lightweight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'S-DEC', 'KO/TKO']","[('3', '5:00'), ('2', '3:39'), ('1', '4:05'), ('1', '0:24'), ('1', '1:14'), ('2', '1:17'), ('3', '5:00'), ('1', '4:32')]"
"['Light Heavyweight', 'Middleweight', 'Welterweight', 'Welterweight', 'Middleweight', 'Middleweight', 'Light Heavyweight']","['U-DEC', 'SUB', 'SUB', 'KO/TKO', 'SUB', 'SUB', 'KO/TKO']","[('3', '5:00'), ('3', '4:28'), ('1', '4:59'), ('2', '2:11'), ('1', '2:22'), ('1', '1:36'), ('2', '0:33')]"
"['Light Heavyweight', 'Middleweight', 'Heavyweight', 'Middleweight', 'Heavyweight', 'Heavyweight', 'Middleweight', 'Welterweight', 'Welterweight']","['S-DEC', 'SUB', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO']","[('3', '5:00'), ('3', '4:19'), ('1', '0:47'), ('1', '4:35'), ('1', '3:34'), ('1', '1:55'), ('1', '5:00'), ('3', '5:00'), ('1', '4:40')]"
"['Light Heavyweight', 'Light Heavyweight', 'Middleweight', 'Light Heavyweight', 'Middleweight', 'Middleweight', 'Middleweight', 'Middleweight', 'Welterweight']","['KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[('1', '2:42'), ('3', '5:00'), ('1', '2:49'), ('3', '5:00'), ('1', '1:35'), ('1', '4:21'), ('1', '3:17'), ('1', '0:20'), ('1', '1:40')]"
"['Light Heavyweight', 'Light Heavyweight', 'Welterweight', 'Middleweight', 'Welterweight', 'Middleweight', 'Middleweight', 'Heavyweight']","['KO/TKO', 'SUB', 'SUB', 'SUB', 'U-DEC', 'SUB', 'SUB', 'U-DEC']","[('1', '2:06'), ('2', '0:24'), ('1', '4:05'), ('2', '3:13'), ('3', '5:00'), ('1', '2:42'), ('3', '2:35'), ('3', '5:00')]"
"['Heavyweight', 'Welterweight', 'Middleweight', 'Light Heavyweight', 'Heavyweight', 'Middleweight', 'Middleweight', 'Welterweight']","['KO/TKO', 'U-DEC', 'KO/TKO', 'SUB', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[('1', '4:10'), ('3', '5:00'), ('4', '3:25'), ('1', '2:18'), ('1', '4:00'), ('1', '2:37'), ('2', '2:10'), ('1', '1:24')]"
"['Middleweight', 'Middleweight', 'Light Heavyweight', 'Middleweight', 'Welterweight', 'Middleweight', 'Welterweight', 'Welterweight']","['U-DEC', 'S-DEC', 'U-DEC', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'SUB']","[('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('1', '0:42'), ('1', '1:53'), ('1', '0:22'), ('2', '2:52'), ('1', '1:35')]"
"['Light Heavyweight', 'Heavyweight', 'Light Heavyweight', 'Welterweight', 'Welterweight', 'Middleweight', 'Middleweight', 'Light Heavyweight']","['KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'SUB', 'U-DEC', 'U-DEC', 'KO/TKO']","[('4', '2:46'), ('1', '4:59'), ('3', '0:52'), ('2', '1:56'), ('1', '4:09'), ('3', '5:00'), ('3', '5:00'), ('2', '0:09')]"
"['Middleweight', 'Middleweight', 'Heavyweight', 'Welterweight', 'Welterweight', 'Middleweight', 'Welterweight']","['KO/TKO', 'SUB', 'KO/TKO', 'SUB', 'SUB', 'U-DEC', 'KO/TKO']","[('2', '4:15'), ('1', '3:26'), ('2', '3:22'), ('3', '4:28'), ('2', '4:43'), ('3', '5:00'), ('3', '1:05')]"
"['Heavyweight', 'Heavyweight', 'Light Heavyweight', 'Light Heavyweight', 'Welterweight', 'Middleweight', 'Heavyweight', 'Light Heavyweight']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'U-DEC', 'SUB', 'CNC']","[('1', '0:15'), ('1', '4:14'), ('1', '3:30'), ('2', '1:20'), ('2', '2:00'), ('3', '5:00'), ('2', '1:02'), ('2', '0:10')]"
"['Welterweight', 'Heavyweight', 'Welterweight', 'Welterweight', 'Welterweight', 'Welterweight', 'Heavyweight']","['U-DEC', 'S-DEC', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[('3', '5:00'), ('3', '5:00'), ('3', '5:00'), ('2', '0:37'), ('1', '0:21'), ('2', '2:55'), ('2', '3:28')]"
"['Middleweight', 'Heavyweight', 'Welterweight', 'Welterweight', 'Middleweight', 'Light Heavyweight', 'Welterweight', 'Welterweight']","['KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'U-DEC']","[('1', '2:34'), ('3', '4:39'), ('1', '3:28'), ('2', '2:53'), ('3', '5:00'), ('2', '2:05'), ('1', '2:25'), ('3', '5:00')]"
