Fighter,Peak Elo,Year Achieved,UFC Record,Avg. Opp. Elo
Claudio Puelles,162.289,2022,5-2-0,113.729
Bobby Green,162.222,2014,10-9-1,142.020
Ken Shamrock,162.070,1996,7-5-2,144.568
Ed Herman,161.951,2013,13-11-0,114.685
Da Woon Jung,161.924,2021,4-2-1,115.024
Clint Hester,161.744,2014,4-3-0,110.932
Brandon Vera,161.722,2006,8-7-0,123.131
Jordan Johnson,161.621,2018,4-0-0,111.280
Dustin Hazelett,161.589,2008,5-4-0,121.235
Mark Hunt,161.550,2017,8-8-1,146.325
Augusto Sakai,161.424,2020,5-4-0,128.463
Danny Castillo,161.325,2013,7-7-0,130.301
Alan Jouban,161.320,2016,8-5-0,117.035
Joe Solecki,161.320,2023,5-1-0,120.853
Felice Herrig,161.195,2017,5-5-0,107.234
Michael McDonald,161.096,2012,6-3-0,127.718
Jerry Bohlander,161.090,1998,5-2-0,106.838
Cathal Pendred,161.084,2015,4-2-0,105.840
Aleksei Oleinik,161.083,2020,9-8-0,129.951
Chris Wade,161.070,2016,5-2-0,107.642
Brock Lesnar,160.995,2010,4-3-0,162.257
Ross Pearson,160.679,2014,12-13-0,124.827
Stevie Ray,160.574,2017,7-4-0,123.836
Mark Kerr,160.470,1997,4-0-0,103.893
Nordine Taleb,160.423,2017,7-5-0,120.741
Pat Sabatini,160.385,2022,4-1-0,110.592
Johnny Case,160.353,2015,4-2-0,107.916
Tracy Cortez,160.350,2022,4-0-0,102.856
Mateusz Gamrot,160.335,2023,5-2-0,159.005
Justin Willis,160.316,2018,4-1-0,112.817
Marcos Rogerio de Lima,160.099,2023,10-6-0,117.508
Steven Siler,160.054,2013,5-4-0,116.564
Chris Camozzi,160.008,2013,9-10-0,112.858
Muhammad Mokaev,159.975,2023,4-0-0,101.457
Andre Petroski,159.906,2022,4-0-0,100.517
Ricardo Ramos,159.833,2019,7-3-0,110.965
Wilson Reis,159.824,2017,7-6-0,129.342
Guy Mezger,159.763,1997,4-1-0,104.012
Laverne Clark,159.730,2000,4-1-0,94.021
Norman Parke,159.716,2014,5-3-1,119.875
Chael Sonnen,159.715,2012,7-7-0,184.726
Kyung Ho Kang,159.698,2022,7-3-0,112.778
Thomas Almeida,159.638,2015,5-5-0,120.432
Ben Rothwell,159.585,2016,9-8-0,133.825
John Howard,159.371,2010,7-7-0,113.080
James Te Huna,159.144,2013,5-5-0,108.680
Enrique Barzola,159.025,2018,6-3-1,109.221
Thiago Tavares,159.004,2014,10-7-1,116.126
Aaron Simpson,158.980,2011,7-4-0,114.576
CB Dollaway,158.865,2014,11-9-0,119.738
Karol Rosa,158.855,2021,5-2-0,100.413
Matthew Riddle,158.582,2010,7-3-0,108.233
Wilson Gouveia,158.571,2008,6-4-0,110.243
Mauricio Rua,158.503,2020,11-12-1,148.210
Nathaniel Wood,158.487,2022,6-2-0,116.323
JJ Aldrich,158.349,2022,7-5-0,104.225
Cole Miller,158.213,2010,10-9-0,104.223
Makwan Amirkhani,158.189,2019,7-7-0,119.414
John Makdessi,158.172,2021,11-8-0,119.126
Chad Laprise,158.145,2017,6-4-0,107.640
Jiri Prochazka,157.991,2022,3-0-0,192.462
Johnny Walker,157.707,2023,7-4-0,145.044
Casey O'Neill,157.577,2022,4-1-0,92.529
Jon Madsen,157.142,2010,4-1-0,94.566
Jeremy Stephens,157.097,2018,15-18-0,139.689
JunYong Park,156.800,2023,6-2-0,93.718
Alexis Davis,156.142,2017,8-6-0,107.381
Sage Northcutt,155.855,2018,6-2-0,99.100
Roy Nelson,155.795,2013,9-10-0,133.794
Lauren Murphy,155.600,2022,8-6-0,120.221
Gillian Robertson,155.409,2020,9-5-0,106.137
Macy Chiasson,154.965,2021,6-3-0,110.293
Bryan Barberena,154.928,2022,9-8-0,136.857
Irene Aldana,154.150,2022,7-5-0,131.200
Chris Cariaso,153.837,2014,7-6-0,109.364
Volkan Oezdemir,153.502,2017,6-6-0,159.872
Brandon Royval,153.335,2023,5-2-0,133.343
Damon Jackson,153.175,2022,5-3-1,118.159
Jared Gordon,152.874,2022,7-5-0,130.376
Askar Askarov,152.872,2021,3-1-1,145.272
Krzysztof Soszynski,152.761,2011,6-3-0,96.856
Tim Kennedy,152.591,2014,3-2-0,159.610
Jacob Volkmann,152.513,2011,6-4-0,112.598
Chris Curtis,152.203,2022,4-2-0,145.348
Ray Borg,152.061,2020,7-5-0,128.539
Holly Holm,152.040,2015,8-6-0,140.925
Yancy Medeiros,152.020,2017,6-8-0,144.393
Shamil Abdurakhimov,151.631,2019,5-6-0,129.187
Davi Ramos,151.574,2019,4-3-0,131.029
Adriano Martins,151.540,2015,4-3-0,132.805
Miesha Tate,151.476,2016,6-6-0,119.925
Dustin Ortiz,151.425,2018,8-6-0,128.913
Jason Knight,151.010,2017,4-5-0,123.805
Curtis Millender,150.918,2018,3-2-0,146.436
John Moraga,150.733,2018,8-6-0,130.229
Shawn Jordan,150.587,2015,6-4-0,124.056
Michelle Waterson-Gomez,150.541,2019,6-7-0,130.512
Andre Fili,150.475,2019,10-8-0,117.086
Norma Dumont,150.225,2023,5-2-0,119.191
Keith Jardine,150.218,2007,6-7-0,134.626
Trevin Giles,150.199,2021,7-4-0,115.440
Khaos Williams,150.126,2021,5-2-0,130.945
Karolina Kowalkiewicz,149.974,2018,8-7-0,127.077
Ronny Markes,149.963,2013,3-2-0,118.728
Nassourdine Imavov,149.949,2022,4-2-0,134.052
Taila Santos,149.797,2021,4-2-0,136.625
Brian Kelleher,149.785,2022,8-7-0,123.838
Claudia Gadelha,149.638,2020,7-5-0,125.503
Anthony Hernandez,149.560,2023,5-2-0,108.281
Renato Sobral,149.415,2006,6-4-0,132.188
Niko Price,149.407,2019,7-6-0,138.428
Azamat Murzakanov,149.359,2023,3-0-0,126.287
David Loiseau,149.251,2005,4-5-0,125.328
Seth Baczynski,149.116,2012,5-6-0,116.290
Frankie Saenz,149.046,2015,5-5-0,110.718
Mark Bocek,149.032,2012,8-5-0,114.853
Mike Perry,148.908,2017,7-8-0,149.546
Kyler Phillips,148.863,2021,4-1-0,110.356
Jimmy Crute,148.827,2020,4-3-1,130.607
Josh Samman,148.681,2015,3-2-0,113.659
Brian Stann,148.625,2011,6-5-0,117.207
Matthew Semelsberger,148.618,2022,5-3-0,128.643
Dooho Choi,148.610,2016,3-3-1,115.497
Ali Bagautinov,148.585,2014,4-3-0,146.606
Miguel Baeza,148.578,2020,3-3-0,129.449
Eddie Alvarez,148.216,2017,4-3-0,190.069
Joel Alvarez,148.215,2021,4-2-0,115.888
Ruslan Magomedov,148.153,2015,3-0-0,116.862
Hermes Franca,148.094,2007,6-5-0,123.087
Din Thomas,148.043,2007,5-4-0,106.470
Marco Beltran,147.997,2016,3-3-0,98.728
Jake Shields,147.972,2013,4-3-0,161.585
Edimilson Souza,147.906,2015,3-1-0,119.819
Brendan Schaub,147.905,2011,6-5-0,125.111
Kyle Noke,147.822,2011,6-6-0,101.552
Mark Hominick,147.796,2011,3-4-0,106.584
David Abbott,147.739,1996,8-10-0,118.611
Rodrigo Nascimento,147.728,2023,4-1-0,110.828
Terry Etim,147.616,2009,6-5-0,105.671
Kajan Johnson,147.588,2018,4-3-0,124.049
Gregory Rodrigues,147.578,2022,4-2-0,114.296
Paul Sass,147.571,2012,3-2-0,124.924
Alberto Mina,147.532,2016,3-1-0,113.798
Claude Patrick,147.441,2011,3-1-0,116.786
Mike Easton,147.367,2012,3-4-0,113.737
Andrea Lee,147.353,2019,5-5-0,115.597
Joe Duffy,147.353,2017,4-4-0,120.813
Luke Barnatt,147.316,2014,3-3-0,110.755
Rony Jason,147.264,2013,4-4-0,120.020
Tim Credeur,147.264,2009,3-2-0,117.614
Javid Basharat,147.255,2023,3-0-0,110.834
Montana De La Rosa,147.233,2019,5-4-1,118.425
Carlos Ulberg,147.233,2023,4-1-0,102.891
Kyle Kingsbury,147.230,2011,4-5-0,104.240
Akira Corassani,147.203,2013,3-3-0,122.362
Marcus Brimage,147.196,2012,4-4-0,101.723
Mickey Gall,147.136,2016,6-5-0,111.636
Jose Quinonez,147.119,2018,5-4-0,105.995
Mitch Gagnon,147.083,2014,4-4-0,111.070
Diego Brandao,146.936,2013,6-4-0,116.594
Mike Malott,146.876,2023,3-0-0,108.310
Nate Maness,146.872,2021,3-2-0,113.654
Gavin Tucker,146.844,2020,4-2-0,116.111
Aspen Ladd,146.841,2019,4-3-0,127.415
Makhmud Muradov,146.840,2021,3-2-0,113.249
Caio Magalhaes,146.802,2014,4-3-0,112.396
Gerald Meerschaert,146.784,2018,10-8-0,116.955
Joaquin Buckley,146.737,2022,6-4-0,109.022
Elias Silverio,146.720,2014,3-2-0,107.370
Bartosz Fabinski,146.679,2018,3-3-0,122.055
