Fighter,Elo,UFC Record,Unbeaten Streak,Last 5 Fights,DelME,DelME1,DelME2,DelME3
Muhammad Mokaev,159.975,4-0-0,4,+ 13.9,+ 14.7,+ 15.3,+ 16.1,+ 0.0
Andre Petroski,159.906,4-0-0,4,+ 14.1,+ 16.1,+ 13.7,+ 16.0,+ 0.0
Pedro Munhoz,159.672,10-7-0,1,+ 18.3,- 15.3,- 15.4,+ 16.4,- 13.9
Anthony Smith,159.605,11-8-0,0,- 17.7,- 15.4,+ 15.2,+ 15.4,+ 15.3
Ryan LaFlare,159.382,7-3-0,0,- 18.5,+ 14.7,- 16.5,+ 13.3,+ 17.2
Johny Hendricks,158.910,13-8-0,0,- 18.2,- 19.2,+ 12.3,- 16.1,- 18.6
Cheick Kongo,158.888,11-6-1,0,- 17.8,+ 13.9,- 19.0,+ 16.4,+ 14.4
Nathaniel Wood,158.487,6-2-0,2,+ 14.2,+ 13.4,- 15.9,+ 14.5,- 16.5
Dennis Siver,158.337,12-8-0,1,+ 15.6,- 18.8,- 16.5,+ 13.0,- 17.4
Adrian Yanez,158.239,5-1-0,0,- 16.4,+ 14.0,+ 14.1,+ 15.2,+ 15.3
Ryan Spann,158.081,7-3-0,0,- 17.0,+ 15.6,+ 14.4,- 15.2,+ 16.1
Pat Sabatini,158.047,5-1-0,1,+ 14.8,- 17.1,+ 13.1,+ 15.2,+ 15.3
Mike Pierce,158.023,9-5-0,0,- 17.2,- 18.5,+ 11.7,+ 15.2,+ 16.2
Jiri Prochazka,157.991,3-0-0,3,+ 21.6,+ 18.3,+ 18.1,+ 0.0,+ 0.0
Nicolas Dalby,157.750,6-3-1,3,+ 17.4,+ 16.7,+ 17.6,- 14.4,+ 18.1
Johnny Walker,157.707,7-4-0,3,+ 17.7,+ 17.3,+ 15.5,- 15.5,- 14.4
Joanna Jedrzejczyk,157.432,10-5-0,0,- 17.0,- 17.2,+ 14.8,- 18.6,+ 14.9
Donald Cerrone,157.151,23-14-0,0,- 16.4,- 18.6,- 19.5,- 16.7,- 21.1
Rashad Evans,157.050,14-8-1,0,- 18.6,- 18.1,- 18.4,- 18.0,- 17.5
Rousimar Palhares,157.034,8-4-0,1,+ 18.5,- 19.2,- 16.6,+ 12.6,+ 14.5
Ketlen Vieira,156.939,7-3-0,0,- 15.2,+ 15.4,+ 15.7,- 17.8,+ 15.4
Sergio Pettis,156.887,9-5-0,1,+ 14.0,- 17.2,- 17.0,+ 19.5,- 16.9
JunYong Park,156.800,6-2-0,3,+ 14.0,+ 14.6,+ 15.8,- 16.6,+ 16.2
Ronda Rousey,156.564,6-2-0,0,- 15.9,- 18.6,+ 14.6,+ 14.7,+ 16.0
Pedro Rizzo,156.302,9-5-0,2,+ 16.9,+ 14.2,- 17.1,- 19.5,+ 13.8
Sage Northcutt,155.855,6-2-0,3,+ 15.0,+ 13.5,+ 14.7,- 15.9,+ 14.6
